client_id,age,client_type,acquisition_purpose,loan_applied,country,region,satisfaction_score,purchase_count,total_spend,referral_channel
1,25,Individual,Home,No,India,Pune,3,2,4500000,Online
2,31,Individual,Investment,Yes,India,Mumbai,5,4,8500000,Referral
3,42,Company,Investment,No,USA,New York,8,7,25000000,Broker
4,28,Individual,Home,Yes,India,Pune,2,2,3800000,Online
5,55,Company,Investment,No,UK,London,10,9,32000000,Broker
6,35,Individual,Investment,Yes,India,Delhi,6,5,11000000,Referral
7,24,Individual,Home,Yes,India,Pune,2,1,3200000,Online
8,48,Company,Investment,No,UAE,Dubai,9,8,28000000,Broker
9,29,Individual,Home,Yes,India,Mumbai,3,2,5000000,Social Media
10,51,Individual,Investment,No,Singapore,Singapore,9,8,30000000,Referral
11,27,Individual,Home,Yes,India,Pune,2,1,3500000,Online
12,39,Individual,Investment,Yes,India,Bengaluru,7,6,14000000,Referral
13,45,Company,Investment,No,USA,California,8,8,27000000,Broker
14,23,Individual,Home,Yes,India,Pune,2,1,3000000,Online
15,58,Company,Investment,No,UK,London,10,9,35000000,Broker
16,33,Individual,Investment,Yes,India,Mumbai,6,5,10000000,Referral
17,26,Individual,Home,Yes,India,Delhi,3,2,4200000,Social Media
18,47,Company,Investment,No,UAE,Dubai,9,8,26000000,Broker
19,30,Individual,Investment,Yes,India,Pune,5,4,9000000,Online
20,53,Individual,Investment,No,Singapore,Singapore,9,8,29000000,Referral
